exam_name,centre_name,dms_code,exam_date
SHIKHAR CITS RPL,CHIKKAMAGALURU - STH-KA-5508-GOVT ITI CHIKKAMAGALURU,STH-KA-5508,9/29/2024
SHIKHAR CITS RPL,AHMEDABAD - WST-GJ-2040-SHREE SWAMINARAYAN INSTITUE OF TECHNOLOGY,WST-GJ-2040,9/29/2024
MUDRA,DELHI NEW DELHI - NR2-DL-4018-ALL INDIA INSTITUTE OF LOCAL SELF GOVERNMENT,NR2-DL-4018,9/30/2024
MUDRA,GURUGRAM - NR2-HR-4098-DPG DEGREE COLLEGE - BLOCK-D,NR2-HR-4098,9/30/2024
MUDRA,DURG BHILAI - WST-CG-2010-BHARTI COLLEGE OF ENGINEERING AND TECHNOLOGY,WST-CG-2010,9/30/2024
MUDRA,AHMEDABAD - WST-GJ-2030-ALL INDIA INSTITUTE OF LOCAL SELF GOVERNMENT-AHMEDABAD,WST-GJ-2030,9/30/2024
MUDRA,THANE - WST-MH-2243-MBC-THANE,WST-MH-2243,9/30/2024
IBIS BCBF DRA,KANPUR - NR1-UP-3139-THE LEARNING SPACE,NR1-UP-3139,10/5/2024
IBIS BCBF DRA,NEW DELHI - NR2-DL-4484-SANGWAN ACADEMY,NR2-DL-4484,10/5/2024
IBIS BCBF DRA,RAJKOT - WST-GJ-2538-GEETANJALI COLLEGE,WST-GJ-2538,10/5/2024
IBIS BCBF DRA,AURANGABAD - WST-MH-2199-BYTEZS INFOTECH,WST-MH-2199,10/5/2024
IBIS BCBF DRA,PUNE - WST-MH-2234-PRIYADARSHANI SIKHSHAN SANSTHAS MARATHI SECONDARY SCHOOL,WST-MH-2234,10/5/2024
TANGO,COIMBATORE - STH-TN-5154-KARUNYA INSITUTE OF TECHNOLOGY AND SCIENCE COLLEGE - 1,STH-TN-5154,10/6/2024
TANGO,THIRUNELVELI - STH-TN-5279-PSN ENGINEERING COLLEGE,STH-TN-5279,10/6/2024
TANGO,SALEM - STH-TN-5717-VSA GROUP OF INSTITUTIONS,STH-TN-5717,10/6/2024
TANGO,MADURAI - STH-TN-5736-NAGARATHINAM ANGALAMMAL ARTS AND SCIENCE COLLEGE,STH-TN-5736,10/6/2024
TANGO,TIRUCHIRAPALLI - STH-TN-5878-AGN INFOSYSTEM,STH-TN-5878,10/6/2024
TANGO HEAL,COIMBATORE - STH-TN-5154-KARUNYA INSITUTE OF TECHNOLOGY AND SCIENCE COLLEGE_1,STH-TN-5154,10/6/2024
TANGO HEAL,THIRUNELVELI - STH-TN-5279-PSN ENGINEERING COLLEGE,STH-TN-5279,10/6/2024
TANGO HEAL,SALEM - STH-TN-5717-VSA GROUP OF INSTITUTIONS,STH-TN-5717,10/6/2024
TANGO HEAL,MADURAI - STH-TN-5736-NAGARATHINAM ANGALAMMAL ARTS AND SCIENCE COLLEGE,STH-TN-5736,10/6/2024
TANGO HEAL,TIRUCHIRAPALLI - STH-TN-5878-AGN INFOSYSTEM,STH-TN-5878,10/6/2024
SHIKHAR CITS RPL,GURUGRAM - NR2-HR-4098-DPG DEGREE COLLEGE-BLOCK-D,NR2-HR-4098,10/17/2024
SHIKHAR CITS RPL,HISAR - NR2-HR-4107-VARTMAAN ONLINE SERVICES,NR2-HR-4107,10/17/2024
SHIKHAR CITS RPL,AMBALA - NR2-HR-4620-LORD KRISHNA COLLEGE OF EDUCATION COMPUTER TEST EXAM CENTRE,NR2-HR-4620,10/17/2024
IBIS JA,AMBALA CANTT - NR2-HR-4495-A-ONE ONLINE EXAM SOLUTIONS,NR2-HR-4495,10/20/2024
IBIS JA,GURUGRAM - NR2-HR-4684-M M PUBLIC SCHOOL,NR2-HR-4684,10/20/2024
IBIS JA,JAIPUR - NR2-RJ-4500-SJM COLLEGE ONLINE EXAM CENTRE_2,NR2-RJ-4500,10/20/2024
IBIS JA,JAIPUR - NR2-RJ-4500-SJM COLLEGE ONLINE EXAM CENTRE-2,NR2-RJ-4500,10/20/2024
IBIS JA,DEHRADUN - NR2-UK-4655-BRAIN DISCOVERY GLOBAL SCHOOL,NR2-UK-4655,10/20/2024
IBIS JA,AHMEDABAD - WST-GJ-2541-KAAVYARATNA INFO SERVICES_1,WST-GJ-2541,10/20/2024
IBIS JA,AHMEDABAD - WST-GJ-2541-KAAVYARATNA INFO SERVICES-1,WST-GJ-2541,10/20/2024
